"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.11.2024","774,50","775,00","778,50","768,00","215,95K","1,11%"
"19.11.2024","766,00","761,50","779,50","754,00","348,01K","1,73%"
"18.11.2024","753,00","740,50","767,50","734,00","449,93K","0,80%"
"15.11.2024","747,00","756,00","760,00","735,00","351,41K","-1,65%"
"14.11.2024","759,50","765,00","768,50","751,50","274,46K","-0,91%"
"13.11.2024","766,50","770,00","773,50","760,00","257,72K","0,33%"
"12.11.2024","764,00","764,50","771,00","757,50","304,84K","0,00%"
"11.11.2024","764,00","772,00","779,50","754,00","402,75K","-2,61%"
"08.11.2024","784,50","799,00","801,00","770,00","488,36K","-0,57%"
"07.11.2024","789,00","780,00","800,00","775,00","362,15K","0,77%"
"06.11.2024","783,00","795,50","796,00","770,00","439,53K","-0,57%"
"05.11.2024","787,50","781,00","798,00","776,50","362,93K","2,07%"
"04.11.2024","771,50","774,00","784,00","760,50","433,81K","-0,06%"
"01.11.2024","772,00","782,50","783,00","764,50","369,89K","-1,28%"
"31.10.2024","782,00","786,50","789,50","775,00","355,00K","-0,32%"
"30.10.2024","784,50","789,00","795,00","772,00","380,97K","0,26%"
"29.10.2024","782,50","786,50","791,00","775,00","306,78K","-0,13%"
"28.10.2024","783,50","770,00","793,00","768,50","437,64K","2,35%"
"25.10.2024","765,50","755,00","774,00","753,00","414,53K","2,27%"
"24.10.2024","748,50","746,00","760,00","739,50","407,99K","-1,12%"
"23.10.2024","757,00","762,00","769,00","741,50","458,43K","-0,46%"
"22.10.2024","760,50","767,50","771,50","752,00","429,92K","-0,72%"
"21.10.2024","766,00","762,00","775,00","756,00","370,72K","0,99%"
"18.10.2024","758,50","752,50","774,00","748,50","530,85K","-1,81%"
"17.10.2024","772,50","785,00","798,00","746,00","753,05K","-2,65%"
"16.10.2024","793,50","796,00","805,00","781,00","557,27K","-0,50%"
"15.10.2024","797,50","799,00","806,00","788,00","525,38K","0,38%"
"14.10.2024","794,50","786,00","811,00","772,00","695,41K","1,21%"
"11.10.2024","785,00","776,00","795,00","775,50","565,98K","0,64%"
"10.10.2024","780,00","776,50","796,50","762,50","667,79K","-0,45%"
"09.10.2024","783,50","782,50","797,50","772,50","610,39K","-2,85%"
"08.10.2024","806,50","840,00","844,50","775,50","648,92K","0,50%"
"30.09.2024","802,50","751,00","835,00","746,00","866,62K","8,15%"
"27.09.2024","742,00","735,00","753,50","732,00","721,78K","3,27%"
