"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"19.11.2024","101,89","101,89","101,89","101,89","","0,13%"
"18.11.2024","101,76","101,76","101,76","101,76","","0,13%"
"15.11.2024","101,63","101,63","101,63","101,63","","-0,58%"
"14.11.2024","102,22","102,22","102,22","102,22","","-0,64%"
"13.11.2024","102,88","102,88","102,88","102,88","","-0,08%"
"12.11.2024","102,96","102,96","102,96","102,96","","-0,14%"
"11.11.2024","103,10","103,10","103,10","103,10","","-0,69%"
"08.11.2024","103,82","103,82","103,82","103,82","","-1,33%"
"07.11.2024","105,22","105,22","105,22","105,22","","1,16%"
"06.11.2024","104,01","104,01","104,01","104,01","","-1,03%"
"05.11.2024","105,09","105,09","105,09","105,09","","1,14%"
"04.11.2024","103,91","103,91","103,91","103,91","","1,39%"
"01.11.2024","102,49","102,49","102,49","102,49","","-1,24%"
"31.10.2024","103,78","103,78","103,78","103,78","","-0,29%"
"30.10.2024","104,08","104,08","104,08","104,08","","-0,01%"
"29.10.2024","104,09","104,09","104,09","104,09","","-0,06%"
"28.10.2024","104,15","104,15","104,15","104,15","","-0,08%"
"25.10.2024","104,23","104,23","104,23","104,23","","-0,16%"
"24.10.2024","104,40","104,40","104,40","104,40","","-0,21%"
"23.10.2024","104,62","104,62","104,62","104,62","","-0,30%"
"22.10.2024","104,94","104,94","104,94","104,94","","-0,28%"
"21.10.2024","105,23","105,23","105,23","105,23","","-0,13%"
"18.10.2024","105,37","105,37","105,37","105,37","","0,01%"
"17.10.2024","105,36","105,36","105,36","105,36","","-0,79%"
"16.10.2024","106,20","106,20","106,20","106,20","","-0,40%"
"15.10.2024","106,63","106,63","106,63","106,63","","-0,45%"
"14.10.2024","107,11","107,11","107,11","107,11","","0,63%"
"11.10.2024","106,44","106,44","106,44","106,44","","0,60%"
"10.10.2024","105,81","105,81","105,81","105,81","","-0,68%"
"09.10.2024","106,53","106,53","106,53","106,53","","0,22%"
"08.10.2024","106,30","106,30","106,30","106,30","","-5,42%"
"07.10.2024","112,39","112,39","112,39","112,39","","3,26%"
"04.10.2024","108,84","108,84","108,84","108,84","","0,49%"
"03.10.2024","108,31","108,31","108,31","108,31","","-0,90%"
"02.10.2024","109,29","109,29","109,29","109,29","","0,51%"
"01.10.2024","108,74","108,74","108,74","108,74","","15,89%"
"30.09.2024","93,83","93,83","93,83","93,83","","0,91%"
"27.09.2024","92,98","92,98","92,98","92,98","","0,48%"
"26.09.2024","92,54","92,54","92,54","92,54","","0,31%"
"25.09.2024","92,25","92,25","92,25","92,25","","0,40%"
"24.09.2024","91,88","91,88","91,88","91,88","","0,31%"
"23.09.2024","91,60","91,60","91,60","91,60","","-0,36%"
"20.09.2024","91,93","91,93","91,93","91,93","","-0,11%"
"19.09.2024","92,03","92,03","92,03","92,03","","0,50%"
"18.09.2024","91,57","91,57","91,57","91,57","","-0,45%"
"17.09.2024","91,98","91,98","91,98","91,98","","0,04%"
"16.09.2024","91,94","91,94","91,94","91,94","","-0,35%"
"13.09.2024","92,26","92,26","92,26","92,26","","-0,86%"
"12.09.2024","93,06","93,06","93,06","93,06","","0,82%"
"11.09.2024","92,30","92,30","92,30","92,30","","1,12%"
"10.09.2024","91,28","91,28","91,28","91,28","","-0,52%"
"09.09.2024","91,76","91,76","91,76","91,76","","0,16%"
"06.09.2024","91,61","91,61","91,61","91,61","","0,34%"
"05.09.2024","91,30","91,30","91,30","91,30","","-1,75%"
"04.09.2024","92,93","92,93","92,93","92,93","","-7,58%"
"03.09.2024","100,55","100,55","100,55","100,55","","1,87%"
"30.08.2024","98,70","98,70","98,70","98,70","","0,07%"
"29.08.2024","98,63","98,63","98,63","98,63","","0,12%"
"28.08.2024","98,51","98,51","98,51","98,51","","0,06%"
"27.08.2024","98,45","98,45","98,45","98,45","","0,15%"
"26.08.2024","98,30","98,30","98,30","98,30","","0,25%"
"23.08.2024","98,05","98,05","98,05","98,05","","-0,14%"
"22.08.2024","98,19","98,19","98,19","98,19","","-0,19%"
"21.08.2024","98,38","98,38","98,38","98,38","","0,40%"
"20.08.2024","97,99","97,99","97,99","97,99","","-0,11%"
"19.08.2024","98,10","98,10","98,10","98,10","","0,30%"
"16.08.2024","97,81","97,81","97,81","97,81","","-0,75%"
"15.08.2024","98,55","98,55","98,55","98,55","","-0,66%"
"14.08.2024","99,20","99,20","99,20","99,20","","-1,23%"
"13.08.2024","100,44","100,44","100,44","100,44","","-0,23%"
"12.08.2024","100,67","100,67","100,67","100,67","","-0,58%"
"09.08.2024","101,26","101,26","101,26","101,26","","0,51%"
"08.08.2024","100,75","100,75","100,75","100,75","","-0,94%"
"07.08.2024","101,71","101,71","101,71","101,71","","-1,12%"
"06.08.2024","102,86","102,86","102,86","102,86","","-1,27%"
"05.08.2024","104,18","104,18","104,18","104,18","","0,17%"
"02.08.2024","104,00","104,00","104,00","104,00","","1,14%"
"01.08.2024","102,83","102,83","102,83","102,83","","-2,94%"
"31.07.2024","105,94","105,94","105,94","105,94","","-0,29%"
"30.07.2024","106,25","106,25","106,25","106,25","","-0,32%"
"29.07.2024","106,59","106,59","106,59","106,59","","-0,25%"
"26.07.2024","106,86","106,86","106,86","106,86","","-0,26%"
"25.07.2024","107,14","107,14","107,14","107,14","","-0,31%"
"24.07.2024","107,47","107,47","107,47","107,47","","-0,30%"
"23.07.2024","107,79","107,79","107,79","107,79","","-0,34%"
"22.07.2024","108,16","108,16","108,16","108,16","","-0,27%"
"19.07.2024","108,45","108,45","108,45","108,45","","-0,26%"
"18.07.2024","108,73","108,73","108,73","108,73","","-0,19%"
"17.07.2024","108,94","108,94","108,94","108,94","","-0,41%"
"16.07.2024","109,39","109,39","109,39","109,39","","-0,26%"
"15.07.2024","109,67","109,67","109,67","109,67","","0,08%"
"12.07.2024","109,58","109,58","109,58","109,58","","0,00%"
"11.07.2024","109,58","109,58","109,58","109,58","","0,77%"
"10.07.2024","108,74","108,74","108,74","108,74","","-1,60%"
"09.07.2024","110,51","110,51","110,51","110,51","","0,45%"
"08.07.2024","110,02","110,02","110,02","110,02","","-1,16%"
