Date,close_TIOc1,open_TIOc1,high_TIOc1,low_TIOc1
2021-11-01,102.58,102.58,102.58,102.58
2021-11-02,99.4,99.4,99.4,99.4
2021-11-03,99.35,99.35,99.35,99.35
2021-11-04,97.17,97.17,97.17,97.17
2021-11-05,94.43,94.43,94.43,94.43
2021-11-08,94.36,94.36,94.36,94.36
2021-11-09,91.98,91.98,91.98,91.98
2021-11-10,92.19,92.19,92.19,92.19
2021-11-11,93.63,93.63,93.63,93.63
2021-11-12,93.4,93.4,93.4,93.4
2021-11-15,92.36,92.36,92.36,92.36
2021-11-16,92.01,92.01,92.01,92.01
2021-11-17,92.76,92.76,92.76,92.76
2021-11-18,92.01,92.01,92.01,92.01
2021-11-19,92.78,92.78,92.78,92.78
2021-11-22,93.39,93.39,93.39,93.39
2021-11-23,93.99,93.99,93.99,93.99
2021-11-24,94.33,94.33,94.33,94.33
2021-11-26,94.44,94.44,94.44,94.44
2021-11-29,94.71,94.71,94.71,94.71
2021-11-30,94.97,94.97,94.97,94.97
2021-12-01,103.17,103.17,103.17,103.17
2021-12-02,101.82,101.82,101.82,101.82
2021-12-03,101.49,101.49,101.49,101.49
2021-12-06,103.74,103.74,103.74,103.74
2021-12-07,108.04,108.04,108.04,108.04
2021-12-08,106.77,106.77,106.77,106.77
2021-12-09,106.49,106.49,106.49,106.49
2021-12-10,105.0,105.0,105.0,105.0
2021-12-13,108.51,108.51,108.51,108.51
2021-12-14,107.04,107.04,107.04,107.04
2021-12-15,109.22,109.22,109.22,109.22
2021-12-16,111.19,111.19,111.19,111.19
2021-12-17,111.64,111.64,111.64,111.64
2021-12-20,113.79,113.79,113.79,113.79
2021-12-21,113.64,113.64,113.64,113.64
2021-12-22,112.54,112.54,112.54,112.54
2021-12-23,112.54,112.54,112.54,112.54
2021-12-27,112.99,112.99,112.99,112.99
2021-12-28,112.29,112.29,112.29,112.29
2021-12-29,112.34,112.34,112.34,112.34
2021-12-30,112.24,112.24,112.24,112.24
2021-12-31,112.5,112.5,112.5,112.5
2022-01-03,120.4,120.4,120.4,120.4
2022-01-04,120.91,120.91,120.91,120.91
2022-01-05,124.14,124.14,124.14,124.14
2022-01-06,125.94,125.94,125.94,125.94
2022-01-07,126.21,126.21,126.21,126.21
2022-01-10,124.48,124.48,124.48,124.48
2022-01-11,126.75,126.75,126.75,126.75
2022-01-12,128.66,128.66,128.66,128.66
2022-01-13,127.84,127.84,127.84,127.84
2022-01-14,126.24,126.24,126.24,126.24
2022-01-18,127.48,127.48,127.48,127.48
2022-01-19,127.41,127.41,127.41,127.41
2022-01-20,129.09,129.09,129.09,129.09
2022-01-21,129.49,129.49,129.49,129.49
2022-01-24,128.74,128.74,128.74,128.74
2022-01-25,129.94,129.94,129.94,129.94
2022-01-26,129.4,129.4,129.4,129.4
2022-01-27,129.96,129.96,129.96,129.96
2022-01-28,130.81,130.81,130.81,130.81
2022-01-31,131.15,131.15,131.15,131.15
2022-02-01,138.79,138.79,138.79,138.79
2022-02-02,139.98,139.98,139.98,139.98
2022-02-03,145.95,145.95,145.95,145.95
2022-02-04,145.45,145.45,145.45,145.45
2022-02-07,150.11,150.11,150.11,150.11
2022-02-08,148.83,148.83,148.83,148.83
2022-02-09,147.64,147.64,147.64,147.64
2022-02-10,151.57,151.57,151.57,151.57
2022-02-11,150.87,150.87,150.87,150.87
2022-02-14,146.76,146.76,146.76,146.76
2022-02-15,144.89,144.89,144.89,144.89
2022-02-16,142.23,142.23,142.23,142.23
2022-02-17,143.88,143.88,143.88,143.88
2022-02-18,141.11,141.11,141.11,141.11
2022-02-22,143.26,143.26,143.26,143.26
2022-02-23,142.96,142.96,142.96,142.96
2022-02-24,142.66,142.66,142.66,142.66
2022-02-25,141.76,141.76,141.76,141.76
2022-02-28,141.99,141.99,141.99,141.99
2022-03-01,143.45,143.45,143.45,143.45
2022-03-02,146.07,146.07,146.07,146.07
2022-03-03,151.11,151.11,151.11,151.11
